state_name,year,total_requirement_mu,total_availability_mu,total_deficit_mu,total_gen_mu,avg_capacity_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,avg_coal_stock_days,avg_normative_coal_stock_days,avg_req_normative_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,avg_actual_coal_stock_tonnes,total_coal_stock_critical_incidents,yearly_avg_total_outage_mw,yearly_avg_fresh_outage_mw,total_energy_lost_mwh,total_fresh_incidents,avg_total_capacity_mw,avg_thermal_capacity_mw,avg_nuclear_capacity__mw,avg_hydro_capacity__mw,avg_res_capacity_mw,coal_reserves_mt,coal_production_mt,coal_consumption_power_mt,total_coal_import_mt,avg_import_priceRs,total_amountCr
chhattisgarh,2019,,,,,,21.999999999999993,21.999999999999993,0.0,0.0,9.747422330437926,15.818931395412136,0.0,0.8009495050421055,92.37545325526196,61.11370048181121,,0.0,0.0,77259.63999999991,93.21112661013042,142.0,,,,,23840.850000000002,23184.666666666668,536.1833333333334,0.0,120.0,59907.76,161.89,76.55,240.31999999999994,13575.234848484848,183025.28999999995
all india,2021,,,,,,132126.12,61236.23999999999,60677.21000000001,10212.67,,,,,,,,,,,,,,,,,,,,,,,,,217.75,10392.014583333335,120533.86
the dadra and nagar haveli and daman and diu,2022,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,46.373333333333335,0.0,0.0,0.0,46.373333333333335,,,,211.45999999999998,19423.888600000002,236924.82999999987
chandigarh,2019,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,35.43,0.0,35.43,0.0,0.0,,,,240.31999999999994,13575.234848484848,183025.28999999995
all india,2019,,,,,,15196.029999999999,6878.309999999999,5981.87,2323.36,,,,,,,,,,,,,,,,,,,,,,,,,240.31999999999994,13575.234848484848,183025.28999999995
all india,2022,,,,,,168470.23999999996,86974.43,67038.62,14457.18,,,,,,,,,,,,,,,,,,,,,,,,,211.45999999999998,19423.888600000002,236924.82999999987
chandigarh,2024,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,67.89111111111112,0.0,0.0,0.0,67.89111111111112,,,,,,
the dadra and nagar haveli and daman and diu,2019,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,20.690833333333334,0.0,20.690833333333334,0.0,0.0,,,,240.31999999999994,13575.234848484848,183025.28999999995
all india,2020,,,,,,104296.01,44265.19,49318.729999999996,10712.09,,,,,,,,,,,,,,,,,,,,,,,,,251.43999999999994,11834.991206896555,158865.22999999992
the dadra and nagar haveli and daman and diu,2024,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,46.64777777777778,0.0,0.0,0.0,46.64777777777778,,,,,,
