state_name,join_date,energy_requirement,energy_availability,deficit_mu,deficit_pct,total_gen_actual_mu,total_gen_program_mu,avg_monitored_cap_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,cap_coal_mw,cap_gas_mw,cap_diesel_mw,cap_lignite_mw,cap_nuclear_mw,cap_hydro_mw,cap_res_mw,total_thermal_mw,total_capacity_mw,avg_total_outage_mw,avg_fresh_outage_mw,total_energy_lost_mwh,total_incidents_count,fresh_incidents_count,avg_coal_stock_days,avg_coal_normative_stock_days,avg_req_normative_coal_stock_tonnes,avg_actual_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,coal_stock_critical_incidents,year,month_num,month_start_date
jharkhand,2024-03-01,,,,,3209.97,3242.3,252.61939218523878,2.76,0.0,0.0,2.76,5570.0,0.0,0.0,0.0,0.0,210.0,185.55,5570.0,5965.55,607.5806451612904,128.70967741935485,452040.0,38.0,37.0,,24.875,209.26685483870966,230.31395161290322,230.21963709677422,0.09431451612903226,0.8201382488479259,1.0914112903225808,2108.26,2452.06,2152.280000000001,30.0,2024,3,2024-03-01
delhi,2018-12-01,,,,,491.69999999999993,478.33000000000015,213.03636363636372,0.0,,,,135.0,2208.4,0.0,0.0,176.21,0.0,0.0,2343.4,2519.61,993.0,858.0,738792.0,11.0,4.0,,,,,,,,,,,,,2018,12,2018-12-01
andaman and nicobar islands,2018-12-01,,,,,11.16,17.049999999999997,40.05,0.0,,,,0.0,0.0,40.05,0.0,11.809999999999999,0.0,0.0,40.05,51.86,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,2018,12,2018-12-01
bhutan,2020-09-01,,,,,3052.3399999999997,1583.3999999999994,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,,,2020,9,2020-09-01
manipur,2019-12-01,,,,,34.64,52.08,70.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,10.030000000000001,0.0,105.0,36.0,151.03,6.774193548387097,6.774193548387097,5040.0,2.0,2.0,,,,,,,,,,,,,2019,12,2019-12-01
jammu and kashmir,2024-06-01,,,,,1773.84,2295.3,321.3636363636364,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,3360.0,235.37,175.0,3770.37,742.0,742.0,534240.0,11.0,11.0,,,,,,,,,,,,,2024,6,2024-06-01
manipur,2023-08-01,,,,,34.300000000000004,67.89,70.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,105.0,18.49,36.0,159.49,3.3870967741935485,3.3870967741935485,2520.0,2.0,2.0,,,,,,,,,,,,,2023,8,2023-08-01
andaman and nicobar islands,2024-03-01,,,,,29.760000000000012,9.92,46.35500000000001,0.0,,,,0.0,0.0,92.71000000000001,0.0,0.0,0.0,35.16,92.71000000000001,127.87,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,2024,3,2024-03-01
odisha,2018-08-01,,,,,3637.58,4093.4299999999994,265.4662162162162,0.0,,,,7680.0,0.0,0.0,0.0,225.28,0.0,2142.25,7680.0,10047.529999999999,2840.1129032258063,657.2096774193549,2113044.0,57.0,50.0,,,,,,,,,,,,,2018,8,2018-08-01
karnataka,2024-07-01,,,,,5273.299999999999,5315.559999999998,319.8727272727272,3377.09,1001.6300000000001,2141.79,233.67000000000002,9480.0,0.0,25.2,0.0,880.0,3689.2,18528.97,9505.2,32603.370000000003,3543.2838709677417,1343.6064516129034,2636203.1999999997,71.0,65.0,,22.0,409.15714285714296,296.53225806451616,254.58525345622127,41.95207373271888,47.91705069124424,60.433179723502306,2388.6999999999994,2567.7000000000003,4035.8900000000012,29.0,2024,7,2024-07-01
ladakh,2021-04-01,,,,,13.220000000000002,21.900000000000006,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,89.0,56.166666666666664,56.166666666666664,40440.0,2.0,2.0,,,,,,,,,,,,,2021,4,2021-04-01
